id,area,en,ka,ru,de,fr,placeholders,ka corrected,ru corrected,de corrected,fr corrected,comment
ui.app.name,interface,Georgian AI Accountant,ქართული AI ბუღალტერი,ИИ-бухгалтер для Грузии,KI-Buchhalter für Georgien,Comptable IA pour la Géorgie,,,,,,
ui.app.tagline,interface,Tax assistant for businesses in Georgia,საგადასახადო ასისტენტი ბიზნესისთვის საქართველოში,Налоговый помощник для бизнеса в Грузии,Steuerassistent für Unternehmen in Georgien,Assistant fiscal pour les entreprises en Géorgie,,,,,,
ui.sidebar.aria,interface,Settings,პარამეტრები,Настройки,Einstellungen,Paramètres,,,,,,
ui.nav.newChat,interface,New chat,ახალი საუბარი,Новый чат,Neuer Chat,Nouvelle conversation,,,,,,
ui.company.label,interface,Company,კომპანია,Компания,Unternehmen,Entreprise,,,,,,
ui.company.add,interface,+ Add,+ დამატება,+ Добавить,+ Hinzufügen,+ Ajouter,,,,,,
ui.deadlines.label,interface,Deadlines,ვადები,Сроки,Fristen,Échéances,,,,,,
ui.history.label,interface,History,ისტორია,История,Verlauf,Historique,,,,,,
ui.history.empty,interface,No conversations yet.,საუბრები ჯერ არ არის.,Пока нет диалогов.,Noch keine Unterhaltungen.,Aucune conversation pour l’instant.,,,,,,
ui.history.justNow,interface,just now,ახლახან,только что,gerade eben,à l’instant,,,,,,
ui.history.delete,interface,Delete conversation,საუბრის წაშლა,Удалить диалог,Unterhaltung löschen,Supprimer la conversation,,,,,,
ui.history.deleteAria,interface,Delete {title},წაშლა: {title},Удалить: {title},Löschen: {title},Supprimer : {title},{title},,,,,
ui.history.confirmDelete,interface,Delete “{title}”? This can't be undone.,წავშალოთ „{title}“? ამ მოქმედების გაუქმება შეუძლებელია.,Удалить «{title}»? Это действие нельзя отменить.,„{title}“ löschen? Das kann nicht rückgängig gemacht werden.,Supprimer « {title} » ? Cette action est irréversible.,{title},,,,,
ui.asOf.label,interface,Evaluate as of,შეფასების თარიღი,Дата расчёта,Stichtag,Date de calcul,,,,,,
ui.asOf.aria,interface,Evaluate rules as of date,წესების შეფასების თარიღი,"Дата, на которую применяются правила",Stichtag für die Regeln,Date à laquelle les règles s’appliquent,,,,,,
ui.index.connected,interface,Legal index connected,სამართლებრივი ბაზა დაკავშირებულია,Правовая база подключена,Rechtsdatenbank verbunden,Base juridique connectée,,,,,,
ui.index.offline,interface,Legal index offline,სამართლებრივი ბაზა მიუწვდომელია,Правовая база недоступна,Rechtsdatenbank nicht verfügbar,Base juridique indisponible,,,,,,
ui.docs.title,interface,API docs,API დოკუმენტაცია,Документация API,API-Dokumentation,Documentation de l’API,,,,,,
ui.theme.title,interface,Switch light/dark theme,ღია/მუქი თემის გადართვა,Светлая/тёмная тема,Helles/dunkles Design,Thème clair/sombre,,,,,,
ui.logout.title,interface,Sign out,გასვლა,Выйти,Abmelden,Se déconnecter,,,,,,
ui.menu.open,interface,Open menu,მენიუს გახსნა,Открыть меню,Menü öffnen,Ouvrir le menu,,,,,,
ui.lang.label,interface,Language,ენა,Язык,Sprache,Langue,,,,,,
ui.chat.title,interface,Chat,საუბარი,Чат,Chat,Conversation,,,,,,
ui.status.checking,interface,Checking…,მოწმდება…,Проверка…,Wird geprüft…,Vérification…,,,,,,
ui.status.unknown,interface,Status unknown,სტატუსი უცნობია,Статус неизвестен,Status unbekannt,Statut inconnu,,,,,,
ui.status.offline,interface,Offline mode,ოფლაინ რეჟიმი,Офлайн-режим,Offline-Modus,Mode hors ligne,,,,,,
ui.status.claude,interface,Claude connected,Claude დაკავშირებულია,Claude подключён,Claude verbunden,Claude connecté,,,,,,
ui.status.local,interface,Local AI,ლოკალური AI,Локальный ИИ,Lokale KI,IA locale,,,,,,
ui.status.keywords,interface,keywords,საკვანძო სიტყვები,ключевые слова,Stichwörter,mots-clés,,,,,,
ui.status.tipOffline,interface,No AI configured: keyword matching and template replies,AI არ არის ჩართული: საკვანძო სიტყვები და შაბლონური პასუხები,ИИ не настроен: поиск по ключевым словам и ответы по шаблонам,Keine KI eingerichtet: Stichwortsuche und Antwortvorlagen,Aucune IA configurée : recherche par mots-clés et réponses types,,,,,,
ui.status.tipAi,interface,{model} reads messages; replies by {replies},{model} კითხულობს შეტყობინებებს; პასუხებს ამზადებს: {replies},{model} читает сообщения; ответы готовит: {replies},{model} liest Nachrichten; Antworten von: {replies},{model} lit les messages ; réponses rédigées par : {replies},{model} {replies},,,,,
ui.status.tipLocal,interface,Runs on this computer; nothing leaves it.,მუშაობს ამ კომპიუტერზე; მონაცემები არსად იგზავნება.,Работает на этом компьютере; данные никуда не передаются.,Läuft auf diesem Computer; keine Daten verlassen ihn.,Fonctionne sur cet ordinateur ; aucune donnée n’en sort.,,,,,,
ui.composer.placeholder,interface,"Ask about salaries, VAT or dividends…","მკითხეთ ხელფასზე, დღგ-ზე ან დივიდენდზე…","Спросите о зарплате, НДС или дивидендах…","Fragen Sie zu Gehältern, Mehrwertsteuer oder Dividenden…","Posez une question sur les salaires, la TVA ou les dividendes…",,,,,,
ui.composer.aria,interface,Message,შეტყობინება,Сообщение,Nachricht,Message,,,,,,
ui.composer.send,interface,Send,გაგზავნა,Отправить,Senden,Envoyer,,,,,,
ui.composer.thinking,interface,Thinking,ფიქრობს,Думаю,Denkt nach,Réflexion en cours,,,,,,
ui.fineprint,interface,"Every number comes from the rules engine, not the AI. Not professional tax advice.",ყველა რიცხვი წესების ძრავიდან მოდის და არა AI-დან. ეს არ არის პროფესიული საგადასახადო კონსულტაცია.,"Все числа рассчитывает механизм правил, а не ИИ. Это не профессиональная налоговая консультация.","Alle Zahlen stammen aus der Regel-Engine, nicht von der KI. Keine professionelle Steuerberatung.","Tous les chiffres proviennent du moteur de règles, pas de l’IA. Ceci n’est pas un conseil fiscal professionnel.",,,,,,
ui.auth.aria,interface,Sign in,შესვლა,Вход,Anmelden,Connexion,,,,,,
ui.auth.subtitle,interface,Your companies and conversations are saved to your account.,თქვენი კომპანიები და საუბრები თქვენს ანგარიშზე ინახება.,Ваши компании и диалоги сохраняются в вашей учётной записи.,Ihre Unternehmen und Unterhaltungen werden in Ihrem Konto gespeichert.,Vos entreprises et conversations sont enregistrées dans votre compte.,,,,,,
ui.auth.signIn,interface,Sign in,შესვლა,Войти,Anmelden,Se connecter,,,,,,
ui.auth.register,interface,Create account,რეგისტრაცია,Создать аккаунт,Konto erstellen,Créer un compte,,,,,,
ui.auth.fullName,interface,Full name,სახელი და გვარი,Имя и фамилия,Vollständiger Name,Nom complet,,,,,,
ui.auth.email,interface,Email,ელფოსტა,Эл. почта,E-Mail,E-mail,,,,,,
ui.auth.password,interface,Password,პაროლი,Пароль,Passwort,Mot de passe,,,,,,
ui.auth.passwordHint,interface,At least 8 characters.,მინიმუმ 8 სიმბოლო.,Не менее 8 символов.,Mindestens 8 Zeichen.,Au moins 8 caractères.,,,,,,
ui.auth.errName,interface,Please enter your name.,"გთხოვთ, მიუთითოთ სახელი.","Пожалуйста, укажите имя.",Bitte geben Sie Ihren Namen ein.,Veuillez indiquer votre nom.,,,,,,
ui.auth.errPassword,interface,Password must be at least 8 characters.,პაროლი უნდა შეიცავდეს მინიმუმ 8 სიმბოლოს.,Пароль должен содержать не менее 8 символов.,Das Passwort muss mindestens 8 Zeichen lang sein.,Le mot de passe doit comporter au moins 8 caractères.,,,,,,
ui.companyDialog.title,interface,Add a company,კომპანიის დამატება,Добавить компанию,Unternehmen hinzufügen,Ajouter une entreprise,,,,,,
ui.companyDialog.desc,interface,"The rules engine uses these details, e.g. whether the VAT registration rule can apply.","წესების ძრავი ამ მონაცემებს იყენებს, მაგალითად, რომ განსაზღვროს, ვრცელდება თუ არა დღგ-ის რეგისტრაციის წესი.","Механизм правил использует эти данные, например чтобы понять, применимо ли правило о регистрации плательщиком НДС.","Die Regel-Engine verwendet diese Angaben, z. B. um zu prüfen, ob die Regel zur Mehrwertsteuer-Registrierung gilt.","Le moteur de règles utilise ces informations, par exemple pour savoir si la règle d’enregistrement à la TVA s’applique.",,,,,,
ui.companyDialog.name,interface,Company name,კომპანიის სახელი,Название компании,Name des Unternehmens,Nom de l’entreprise,,,,,,
ui.companyDialog.namePlaceholder,interface,e.g. Tbilisi Trading LLC,მაგ. შპს თბილისი ტრეიდინგი,напр. ООО «Тбилиси Трейдинг»,z. B. Tbilisi Trading GmbH,p. ex. Tbilisi Trading SARL,,,,,,
ui.companyDialog.taxId,interface,Tax ID,საიდენტიფიკაციო კოდი,Идентификационный код,Steuernummer,Numéro d’identification fiscale,,,,,,
ui.companyDialog.taxIdPlaceholder,interface,9 digits,9 ციფრი,9 цифр,9 Ziffern,9 chiffres,,,,,,
ui.companyDialog.legalForm,interface,Legal form,სამართლებრივი ფორმა,Правовая форма,Rechtsform,Forme juridique,,,,,,
ui.companyDialog.regDate,interface,Registration date,რეგისტრაციის თარიღი,Дата регистрации,Registrierungsdatum,Date d’immatriculation,,,,,,
ui.companyDialog.save,interface,Save company,კომპანიის შენახვა,Сохранить компанию,Unternehmen speichern,Enregistrer l’entreprise,,,,,,
ui.companyDialog.required,interface,"Name, tax ID and registration date are required.","სახელი, საიდენტიფიკაციო კოდი და რეგისტრაციის თარიღი სავალდებულოა.","Название, идентификационный код и дата регистрации обязательны.","Name, Steuernummer und Registrierungsdatum sind erforderlich.","Le nom, le numéro fiscal et la date d’immatriculation sont obligatoires.",,,,,,
ui.legal.LLC,interface,LLC (შპს),შპს,ООО (შპს),GmbH (შპს),SARL (შპს),,,,,,
ui.legal.JSC,interface,JSC (სს),სს,АО (სს),AG (სს),SA (სს),,,,,,
ui.legal.IE,interface,Individual entrepreneur (ი/მ),ინდივიდუალური მეწარმე (ი/მ),Индивидуальный предприниматель (ი/მ),Einzelunternehmer (ი/მ),Entrepreneur individuel (ი/მ),,,,,,
ui.legal.Other,interface,Other,სხვა,Другое,Sonstige,Autre,,,,,,
ui.profile.vatRegistered,interface,VAT-registered,დღგ-ის გადამხდელი,Плательщик НДС,Mehrwertsteuerpflichtig registriert,Assujettie à la TVA,,,,,,
ui.profile.vatDate,interface,VAT registration date,დღგ-ის გადამხდელად რეგისტრაციის თარიღი,Дата регистрации плательщиком НДС,Datum der Mehrwertsteuer-Registrierung,Date d’enregistrement à la TVA,,,,,,
ui.profile.hasEmployees,interface,Has employees,ჰყავს თანამშრომლები,Есть сотрудники,Hat Mitarbeiter,Emploie des salariés,,,,,,
ui.profile.ownsProperty,interface,"Owns taxable property (buildings, land, equipment)","ფლობს დასაბეგრ ქონებას (შენობა, მიწა, აღჭურვილობა)","Владеет облагаемым имуществом (здания, земля, оборудование)","Besitzt steuerpflichtiges Vermögen (Gebäude, Grundstücke, Ausrüstung)","Possède des biens imposables (bâtiments, terrains, équipements)",,,,,,
ui.profileDialog.title,interface,Tax profile,საგადასახადო პროფილი,Налоговый профиль,Steuerprofil,Profil fiscal,,,,,,
ui.profileDialog.desc,interface,These facts decide which rules and deadlines apply to the company.,"ეს მონაცემები განსაზღვრავს, რომელი წესები და ვადები ვრცელდება კომპანიაზე.","Эти данные определяют, какие правила и сроки применяются к компании.","Diese Angaben bestimmen, welche Regeln und Fristen für das Unternehmen gelten.",Ces informations déterminent les règles et échéances qui s’appliquent à l’entreprise.,,,,,,
ui.profileDialog.regime,interface,Tax regime,საგადასახადო რეჟიმი,Налоговый режим,Besteuerungsform,Régime fiscal,,,,,,
ui.regime.standard,interface,Standard,სტანდარტული,Общий,Standard,Standard,,,,,,
ui.regime.small_business,interface,Small business status,მცირე ბიზნესის სტატუსი,Статус малого бизнеса,Kleinunternehmerstatus,Statut de petite entreprise,,,,,,
ui.regime.micro_business,interface,Micro business status,მიკრო ბიზნესის სტატუსი,Статус микробизнеса,Kleinstunternehmerstatus,Statut de micro-entreprise,,,,,,
ui.profile.taxId,interface,Tax ID,საიდენტიფიკაციო კოდი,Идент. код,Steuernummer,N° fiscal,,,,,,
ui.profile.legalForm,interface,Legal form,სამართლებრივი ფორმა,Правовая форма,Rechtsform,Forme juridique,,,,,,
ui.profile.vat,interface,VAT registered,დღგ-ის გადამხდელი,Плательщик НДС,MwSt.-registriert,Assujettie à la TVA,,,,,,
ui.profile.employees,interface,Employees,თანამშრომლები,Сотрудники,Mitarbeiter,Salariés,,,,,,
ui.profile.property,interface,Property,ქონება,Имущество,Vermögen,Biens,,,,,,
ui.profile.regime,interface,Regime,რეჟიმი,Режим,Besteuerung,Régime,,,,,,
ui.profile.taxProfile,interface,Tax profile,საგადასახადო პროფილი,Налоговый профиль,Steuerprofil,Profil fiscal,,,,,,
ui.profile.notSet,interface,Not set,არ არის მითითებული,Не указан,Nicht festgelegt,Non renseigné,,,,,,
ui.common.cancel,interface,Cancel,გაუქმება,Отмена,Abbrechen,Annuler,,,,,,
ui.common.save,interface,Save,შენახვა,Сохранить,Speichern,Enregistrer,,,,,,
ui.common.edit,interface,Edit,რედაქტირება,Изменить,Bearbeiten,Modifier,,,,,,
ui.common.yes,interface,Yes,კი,Да,Ja,Oui,,,,,,
ui.common.no,interface,No,არა,Нет,Nein,Non,,,,,,
ui.rs.lookup,interface,Look up on RS.ge,RS.ge-ზე მოძებნა,Найти на RS.ge,Bei RS.ge nachschlagen,Rechercher sur RS.ge,,,,,,
ui.rs.check,interface,Check on RS.ge,RS.ge-ზე შემოწმება,Проверить на RS.ge,Bei RS.ge prüfen,Vérifier sur RS.ge,,,,,,
ui.rs.checking,interface,Checking RS.ge…,მოწმდება RS.ge-ზე…,Проверяем на RS.ge…,RS.ge wird abgefragt …,Vérification sur RS.ge…,,,,,,
ui.rs.needCode,interface,Enter the 9-digit company code or 11-digit personal number first.,ჯერ მიუთითეთ 9-ნიშნა საიდენტიფიკაციო კოდი ან 11-ნიშნა პირადი ნომერი.,Сначала введите 9-значный код компании или 11-значный личный номер.,Geben Sie zuerst die 9-stellige Firmennummer oder die 11-stellige persönliche Nummer ein.,Saisissez d’abord le code de l’entreprise (9 chiffres) ou le numéro personnel (11 chiffres).,,,,,,
ui.rs.filled,interface,Filled in from RS.ge · {vat} · checked {date},შევსებულია RS.ge-დან · {vat} · შემოწმდა {date},Заполнено по данным RS.ge · {vat} · проверено {date},Aus RS.ge übernommen · {vat} · geprüft am {date},Rempli depuis RS.ge · {vat} · vérifié le {date},{vat} {date},,,,,
ui.rs.vatYes,interface,VAT payer,დღგ-ის გადამხდელია,плательщик НДС,mehrwertsteuerpflichtig,assujettie à la TVA,,,,,,
ui.rs.vatNo,interface,not a VAT payer,არ არის დღგ-ის გადამხდელი,не плательщик НДС,nicht mehrwertsteuerpflichtig,non assujettie à la TVA,,,,,,
ui.rs.profileResult,interface,RS.ge: {name} · {vat} ({date}). Press Save to apply.,RS.ge: {name} · {vat} ({date}). ცვლილების შესანახად დააჭირეთ „შენახვას“.,"RS.ge: {name} · {vat} ({date}). Нажмите «Сохранить», чтобы применить.",RS.ge: {name} · {vat} ({date}). Zum Übernehmen „Speichern“ klicken.,RS.ge : {name} · {vat} ({date}). Cliquez sur « Enregistrer » pour appliquer.,{name} {vat} {date},,,,,
ui.books.nav,interface,Sales & expenses,გაყიდვები და ხარჯები,Продажи и расходы,Verkäufe & Ausgaben,Ventes et dépenses,,,,,,
ui.review.nav,interface,Rule review,წესების შემოწმება,Проверка правил,Regelprüfung,Vérification des règles,,,,,,
ui.reminders.nav,interface,Reminders,შეხსენებები,Напоминания,Erinnerungen,Rappels,,,,,,
ui.print.pdf,interface,Save as PDF,PDF-ად შენახვა,Сохранить в PDF,Als PDF speichern,Enregistrer en PDF,,,,,,
ui.auth.forgot,interface,Forgot password?,დაგავიწყდათ პაროლი?,Забыли пароль?,Passwort vergessen?,Mot de passe oublié ?,,,,,,
ui.account.title,interface,Your account,თქვენი ანგარიში,Ваш аккаунт,Ihr Konto,Votre compte,,,,,,
ui.account.deleteTitle,interface,Delete account,ანგარიშის წაშლა,Удаление аккаунта,Konto löschen,Supprimer le compte,,,,,,
ui.account.deleteWarning,interface,"This permanently deletes your account with all its companies, records, conversations and reminders. It can't be undone.","ანგარიში სამუდამოდ წაიშლება ყველა კომპანიასთან, ჩანაწერთან, საუბართან და შეხსენებასთან ერთად. ამის დაბრუნება შეუძლებელია.","Аккаунт будет удалён навсегда вместе со всеми компаниями, записями, разговорами и напоминаниями. Отменить это нельзя.","Damit werden Ihr Konto und alle Unternehmen, Einträge, Gespräche und Erinnerungen endgültig gelöscht. Das lässt sich nicht rückgängig machen.","Votre compte sera supprimé définitivement avec toutes ses entreprises, écritures, conversations et rappels. C’est irréversible.",,,,,,
ui.account.password,interface,"Your password, to confirm",დასადასტურებლად თქვენი პაროლი,Ваш пароль для подтверждения,Ihr Passwort zur Bestätigung,"Votre mot de passe, pour confirmer",,,,,,
ui.account.delete,interface,Delete my account,ჩემი ანგარიშის წაშლა,Удалить мой аккаунт,Mein Konto löschen,Supprimer mon compte,,,,,,
ui.account.needPassword,interface,Enter your password to confirm.,დასადასტურებლად შეიყვანეთ პაროლი.,Введите пароль для подтверждения.,Geben Sie zur Bestätigung Ihr Passwort ein.,Saisissez votre mot de passe pour confirmer.,,,,,,
ui.account.confirm,interface,Delete your account and all its data for good?,წავშალოთ ანგარიში და მისი ყველა მონაცემი სამუდამოდ?,Удалить аккаунт и все его данные навсегда?,Konto und alle Daten endgültig löschen?,Supprimer définitivement le compte et toutes ses données ?,,,,,,
ui.server.Wrong password,interface,Wrong password.,პაროლი არასწორია.,Неверный пароль.,Falsches Passwort.,Mot de passe incorrect.,,,,,,
ui.auth.privacy,interface,Privacy,კონფიდენციალურობა,Конфиденциальность,Datenschutz,Confidentialité,,,,,,
ui.auth.resetTitle,interface,Reset your password,პაროლის აღდგენა,Сброс пароля,Passwort zurücksetzen,Réinitialiser le mot de passe,,,,,,
ui.auth.resetIntro,interface,Enter your account's email and we'll send you a link to choose a new password.,მიუთითეთ ანგარიშის ელფოსტა და გამოგიგზავნით ბმულს ახალი პაროლის დასაყენებლად.,"Укажите эл. почту аккаунта, и мы пришлём ссылку для нового пароля.",Geben Sie die E-Mail Ihres Kontos ein; wir senden Ihnen einen Link für ein neues Passwort.,Indiquez l’e-mail de votre compte : nous vous enverrons un lien pour choisir un nouveau mot de passe.,,,,,,
ui.auth.resetSend,interface,Send link,ბმულის გაგზავნა,Отправить ссылку,Link senden,Envoyer le lien,,,,,,
ui.auth.resetSent,interface,"If there's an account for this email, a link is on its way. It works for 1 hour.","თუ ამ ელფოსტით ანგარიში არსებობს, ბმული უკვე გზაშია. ის 1 საათის განმავლობაში მოქმედებს.","Если аккаунт с этой почтой существует, ссылка уже отправлена. Она действует 1 час.","Falls es ein Konto mit dieser E-Mail gibt, ist ein Link unterwegs. Er gilt 1 Stunde.","S’il existe un compte avec cet e-mail, un lien est en route. Il est valable 1 heure.",,,,,,
ui.auth.newPasswordIntro,interface,Choose a new password for your account.,აირჩიეთ ახალი პაროლი თქვენი ანგარიშისთვის.,Придумайте новый пароль для аккаунта.,Wählen Sie ein neues Passwort für Ihr Konto.,Choisissez un nouveau mot de passe pour votre compte.,,,,,,
ui.auth.newPassword,interface,New password,ახალი პაროლი,Новый пароль,Neues Passwort,Nouveau mot de passe,,,,,,
ui.auth.resetSave,interface,Save new password,ახალი პაროლის შენახვა,Сохранить пароль,Neues Passwort speichern,Enregistrer le mot de passe,,,,,,
ui.auth.resetDoneMsg,interface,Password changed. Sign in with your new password.,პაროლი შეიცვალა. შედით ახალი პაროლით.,Пароль изменён. Войдите с новым паролем.,Passwort geändert. Melden Sie sich mit dem neuen Passwort an.,Mot de passe modifié. Connectez-vous avec le nouveau.,,,,,,
ui.auth.backToSignIn,interface,Back to sign in,შესვლაზე დაბრუნება,Вернуться ко входу,Zurück zur Anmeldung,Retour à la connexion,,,,,,
ui.server.Too many attempts. Please wait a few minutes and try again.,interface,Too many attempts. Please wait a few minutes and try again.,ძალიან ბევრი მცდელობა. დაელოდეთ რამდენიმე წუთს და სცადეთ ხელახლა.,Слишком много попыток. Подождите несколько минут и попробуйте снова.,Zu viele Versuche. Bitte warten Sie einige Minuten und versuchen Sie es erneut.,Trop de tentatives. Patientez quelques minutes puis réessayez.,,,,,,
ui.server.Password reset by email is not set up,interface,Password reset by email isn't set up on this server yet.,ელფოსტით პაროლის აღდგენა ამ სერვერზე ჯერ არ არის გამართული.,Сброс пароля по эл. почте на этом сервере ещё не настроен.,Das Zurücksetzen per E-Mail ist auf diesem Server noch nicht eingerichtet.,La réinitialisation par e-mail n’est pas encore configurée sur ce serveur.,,,,,,
